[2010-03-06 23:46] [Weapon Hacks] Kate_Rizaru (1 times) - Minigun (9432 ammo, expected 9431)
[2010-03-07 05:25] [Weapon Hacks] Nathan_Daniels (1 times) - Fire (49653 ammo, expected 4653)
[2010-03-07 10:56] [Weapon Hacks] Tony_Salvana (1 times) - Fire (988 ammo, expected 88)
[2010-03-07 10:57] [Weapon Hacks] John_Brenkly (1 times) - Fire Extinguisher (687 ammo, expected 686)
[2010-03-07 10:57] [Weapon Hacks] John_Brenkly (2 times) - Fire Extinguisher (320 ammo, expected 319)
[2010-03-07 14:25] [Weapon Hacks] Nathan_Daniels (1 times) - Fire (46200 ammo, expected 4620)
[2010-03-07 15:26] [Weapon Hacks] Jim_Atmaca (1 times) - Katana (1 ammo, expected 0)
[2010-03-07 15:26] [Weapon Hacks] Jim_Atmaca (2 times) - Katana (1 ammo, expected 0)
[2010-03-07 15:26] [Weapon Hacks] Jim_Atmaca (3 times) - Katana (1 ammo, expected 0)
[2010-03-07 15:26] [Weapon Hacks] Jim_Atmaca (4 times) - Katana (1 ammo, expected 0)
[2010-03-07 15:27] [Weapon Hacks] Jim_Atmaca (5 times) - Katana (1 ammo, expected 0)
[2010-03-07 15:27] [Weapon Hacks] Jim_Atmaca (6 times) - Katana (1 ammo, expected 0)
[2010-03-07 15:27] [Weapon Hacks] Jim_Atmaca (7 times) - Katana (1 ammo, expected 0)
[2010-03-07 15:27] [Weapon Hacks] Jim_Atmaca (8 times) - Katana (1 ammo, expected 0)
[2010-03-07 15:28] [Weapon Hacks] Jim_Atmaca (9 times) - Katana (1 ammo, expected 0)
[2010-03-07 15:28] [Weapon Hacks] Jim_Atmaca (10 times) - Katana (1 ammo, expected 0)
[2010-03-07 15:28] [Weapon Hacks] Jim_Atmaca (11 times) - Katana (1 ammo, expected 0)
