[2010-03-06 23:30] [IC: Local Do] * What does Troy see? *      ((LaTroy Linus))
[2010-03-06 23:30] [IC: Local Do] * Bleeding from the head and crying *      ((Steve Razinsky))
[2010-03-06 23:30] [IC: Local Do] * the guy in black its holding a gun *      ((Jackson Shakur))
[2010-03-06 23:31] [IC: Local Do] * The scar running over her left eye is somewhat visable. *      ((Aylena Kuznetsova))
[2010-03-06 23:32] [IC: Local Do] * Suceed? *      ((Steve Razinsky))
[2010-03-06 23:32] [IC: Local Do] * Succeed. *      ((Edward Parker))
[2010-03-06 23:32] [IC: Local Do] * Suceed? *      ((Steve Razinsky))
[2010-03-06 23:37] [IC: Local Do] * Hears The Game - California Love *      ((Eduardo Diaz))
[2010-03-06 23:38] [IC: Local Do] * Blood seeps out *      ((John Brenkly))
[2010-03-06 23:39] [IC: Local Do] * *Snooop Dooogggg Iss oooonnn* *      ((Eduardo Diaz))
[2010-03-06 23:40] [IC: Local Do] * CLICK! CRUNCH! *      ((John Brenkly))
[2010-03-06 23:40] [IC: Local Do] * Blah blah wound stitches *      ((John Brenkly))
[2010-03-06 23:40] [IC: Local Do] * What do I find? *      ((Steve Razinsky))
[2010-03-06 23:41] [IC: Local Do] * Blood seeps out *      ((John Brenkly))
[2010-03-06 23:41] [IC: Local Do] * There is a neat incision, and blood seeps out *      ((John Brenkly))
[2010-03-06 23:41] [IC: Local Do] * BLAGH *      ((Nathan Garcia))
[2010-03-06 23:42] [IC: Local Do] * Simon's Admiral has visible scratches and rust covering it, a loud ticking can be heard when it moves. *      ((Simon Nirva))
[2010-03-06 23:42] [IC: Local Do] * They were apart fully, now realligned into place, just touching each other *      ((John Brenkly))
[2010-03-06 23:42] [IC: Local Do] * ZZHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHh *      ((John Brenkly))
[2010-03-06 23:43] [IC: Local Do] * AZHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHCRUNCH! *      ((John Brenkly))
[2010-03-06 23:43] [IC: Local Do] * Bone dust flies everywhere *      ((John Brenkly))
[2010-03-06 23:43] [IC: Local Do] * More blood seeps out *      ((John Brenkly))
[2010-03-06 23:43] [IC: Local Do] * CRUCHITY CRUNCHITY CRUNCH *      ((Nathan Garcia))
[2010-03-06 23:43] [IC: Local Do] * There is one hole in your bone now *      ((John Brenkly))
